customer_id,first_name,last_name,gender,birth_date,email,phone_number,city,country,registration_date,loyalty_tier,account_status,marketing_opt_in,total_lifetime_value,avg_order_value,orders_count,last_purchase_date,preferred_channel,created_at,updated_at
14,Adam,Clark,,1982-08-02,breyes@leonard.org,187.523.9304x19325,Codyport,Croatia,2021-05-06,Bronze,active,True,21887.79,414.78,185,2025-05-05,,2021-09-27 16:33:08,2025-08-26 23:10:30
15,Brittany,King,,1969-11-10,melissapreston@gmail.com,(065)250-8756x312,Rileybury,Guernsey,2024-12-23,Bronze,blocked,True,14898.52,,169,2024-11-06,mobile,2020-12-25 08:08:54,2025-09-17 09:52:39
16,Erika,Moore,F,1987-03-26,williamcarrillo@cook.info,(747)643-9990,Rebeccaview,Wallis and Futuna,2023-10-15,Bronze,active,True,15810.97,208.45,14,2025-10-27,store,2020-10-26 17:07:38,2025-06-22 01:00:14
17,Cheryl,Davis,F,1963-12-16,xwalker@gmail.com,566.993.3621,Lake Sharon,Mongolia,2023-11-07,Gold,blocked,,4006.06,465.33,179,2024-04-14,mobile,2022-10-20 14:15:42,2025-02-25 04:58:12
18,Benjamin,Bailey,,1956-01-23,juliemiller@lucas.com,+1-333-461-8654x74142,East Melanie,Belarus,2023-12-29,Silver,blocked,,17624.78,40.74,139,2024-10-21,store,2022-12-31 19:34:40,2025-07-30 11:55:25
19,Megan,Spears,,2004-10-22,danielle90@park.com,001-817-416-5885x203,Crystalview,Japan,2021-03-14,Gold,active,False,3875.95,,124,2025-02-16,web,2020-11-06 21:53:57,2025-11-07 07:52:05
20,Lynn,Santos,,1987-11-16,colemantimothy@ingram-brown.com,(695)046-6690,North Jasmine,Kazakhstan,2020-08-23,Platinum,inactive,False,6087.09,,140,2024-08-09,web,2022-12-14 19:08:21,2025-12-02 17:11:18
21,,Lucas,,1989-03-10,patrickanderson@massey.net,001-466-616-9488x3965,Rowlandborough,Congo,2023-06-22,Silver,inactive,False,1832.16,,134,2025-03-16,,2020-10-28 05:11:12,2025-08-13 22:16:16
22,Michael,Barrett,F,1998-06-19,conniegreen@hurley.com,029.899.8641,Lake Hollyport,Bermuda,2025-07-16,Gold,active,True,20337.9,51.24,41,2024-09-01,,2020-06-29 16:27:54,2025-07-29 10:19:12
23,Sierra,Robertson,F,1967-10-27,burchjessica@shaw.com,929.785.7145x933,Lake Davidhaven,Malta,2021-10-04,Platinum,inactive,False,,432.86,182,,web,2021-05-14 11:21:14,2025-03-24 02:49:28
24,Julie,Martin,F,1985-11-22,xtaylor@fox.com,323-301-3089x470,Meyershire,Haiti,2022-09-30,Bronze,inactive,False,15019.47,429.49,41,2025-03-16,,2020-12-24 11:17:27,2025-10-07 00:52:57
25,Charles,Lawson,F,1950-05-03,mpatton@hotmail.com,(073)335-4040x5323,Kellyfurt,Burundi,2024-03-13,Bronze,inactive,True,,154.77,100,2025-02-22,mobile,2020-11-21 05:12:46,2026-01-07 10:29:07
26,Robert,Carter,F,1998-07-24,turnervictoria@nicholson.com,508.056.3382x7377,West Mary,Sao Tome and Principe,2021-07-26,Silver,active,True,6732.8,390.84,73,2026-01-06,store,2020-12-09 17:49:03,2025-12-19 15:17:24
27,Alexander,Williams,,1986-10-07,joel19@yahoo.com,+1-012-129-6067x5834,Jackberg,Jordan,2024-06-22,Silver,inactive,False,20548.76,88.74,235,2025-06-14,web,2022-10-05 05:33:13,2025-06-27 16:44:38
28,Christine,Boyd,F,1987-11-14,robert39@yahoo.com,,Hooperview,Afghanistan,2025-11-19,Platinum,active,False,,81.91,41,,mobile,2021-01-06 07:41:02,2025-08-29 03:54:19
1,Tamara,Norton,,1966-10-26,smiththomas@landry-clark.com,(386)983-8605x880,West Nicole,Macedonia,2025-03-21,Platinum,active,,5604.95,400.93,138,,mobile,2021-02-22 04:01:03,2025-12-05 22:03:22
30,William,Curry,F,1989-10-30,awilkinson@campos.com,185-308-1549,Reillyside,Jordan,2023-04-14,Silver,inactive,False,24218.5,89.45,203,2024-12-07,mobile,2022-08-29 13:35:37,2025-11-04 21:14:48
31,Kyle,Hernandez,F,1981-02-26,moorejeffrey@gmail.com,657-987-1084x11912,Jenniferville,United States Minor Outlying Islands,2024-03-30,Silver,active,,17762.7,463.85,192,2025-12-30,web,2023-01-08 00:48:02,2025-12-20 22:43:53
32,Marissa,Marshall,M,1997-02-06,james78@phillips.com,248-047-8141x5767,North Paulborough,Portugal,2024-09-07,Silver,active,True,17196.42,70.65,25,2024-04-05,,2021-09-26 09:49:14,2025-12-16 17:52:03
33,Susan,Reed,,2000-07-13,agreene@hotmail.com,923.451.5250,Brockborough,Tokelau,2022-07-01,Bronze,blocked,True,19748.19,326.26,156,2025-07-19,,2021-12-13 14:55:57,2025-07-22 12:51:42
25,Alexander,Huff,,1994-05-31,singletonkaitlyn@hotmail.com,(695)715-0454x04516,New Karen,Costa Rica,2023-08-26,Platinum,blocked,False,3935.44,199.63,191,2025-11-01,,2021-04-13 11:47:52,2025-04-08 19:02:43
35,Kelsey,Bartlett,F,1991-12-07,yrivera@gmail.com,001-301-061-9542x647,Gomeztown,Indonesia,2021-06-25,Bronze,blocked,,4788.83,,228,2024-05-05,store,2020-09-09 11:32:46,2026-01-17 21:47:18
3,Christine,Perkins,F,1954-12-28,dayperry@tran.com,+1-869-904-8225,Nguyenstad,Sierra Leone,2023-05-07,Platinum,inactive,,,368.73,236,2025-08-14,store,2022-03-31 15:18:16,2025-06-28 17:48:38
37,Lisa,Spencer,M,1977-08-05,joshuahansen@hotmail.com,010-678-9146,Port Warrenside,Malaysia,2024-03-27,Bronze,active,False,2987.61,243.48,57,,web,2020-10-05 08:46:09,2025-10-17 07:48:32
38,Stephanie,Lewis,F,1971-08-13,uquinn@hotmail.com,623.972.8093x1524,New Melanie,Papua New Guinea,2020-05-20,Silver,active,,12199.32,154.66,53,,,2022-05-06 00:27:37,2025-07-28 12:15:49
1,Elizabeth,Jones,,1959-12-02,karen54@flynn-jackson.com,001-305-468-4064,Lake Lauren,Zimbabwe,2021-01-27,Platinum,active,False,9020.32,140.18,215,2025-03-14,web,2020-08-05 15:31:14,2025-03-22 05:41:14
40,John,Webb,M,1958-12-17,nicole73@diaz.com,854-515-0608x406,Lake Timothyland,Morocco,2020-08-25,Platinum,blocked,False,,,137,2024-05-31,store,2020-07-11 20:22:10,2025-12-23 23:29:23
41,Robert,Merritt,M,1963-09-23,gomezkimberly@hotmail.com,009.816.2739x752,New Teresafort,Turkey,2023-03-28,Silver,blocked,True,21991.31,208.73,97,2024-08-03,mobile,2021-06-02 16:03:44,2025-01-19 00:29:55
42,Nathan,Singh,F,1993-07-26,chadmcpherson@white-klein.info,434.421.2063,Peterberg,Macedonia,2022-07-31,Platinum,blocked,True,3657.0,406.17,177,2024-05-28,,2020-02-22 23:51:01,2025-03-23 03:03:19
43,Keith,Stone,M,1967-03-24,sarahayala@smith.com,001-700-867-3142,Richardsonfurt,Austria,2025-10-03,Platinum,inactive,,24230.12,491.71,44,2025-08-05,web,2022-07-15 10:24:19,2025-12-18 16:04:36
44,Dawn,Moore,F,1989-01-01,abigail37@armstrong.net,838.091.3350x06258,West Barbaraborough,Guadeloupe,2020-11-21,Gold,active,,22797.51,363.41,155,2024-03-17,store,2022-09-22 07:09:22,2025-08-21 21:31:37
45,Brandon,White,M,1982-10-11,cheyenne06@odom.info,001-883-689-5597x9492,Simston,Indonesia,2021-03-31,Platinum,active,False,9212.88,244.08,175,2025-01-16,,2020-12-03 19:53:51,2025-08-05 02:11:26
46,Kara,Strong,M,1959-09-20,sullivanpamela@joseph-cruz.info,434.991.2161,North Thomas,Nauru,2025-07-28,Silver,blocked,,15691.88,45.01,120,2025-08-16,store,2021-09-18 07:30:05,2025-07-06 16:50:46
47,Lorraine,Barber,F,1988-06-10,madisonblackwell@hotmail.com,(591)390-6473,Russellchester,Bolivia,2021-08-20,Gold,active,False,478.87,472.23,248,,web,2020-02-23 07:17:25,2025-12-14 17:33:09
48,Monica,Brooks,,2007-08-26,luis84@gmail.com,886-552-0366,Williamsstad,Turkey,2024-02-16,Gold,active,True,21130.11,274.23,152,2025-01-22,web,2022-02-14 14:17:50,2025-06-29 09:02:38
49,Eric,Hudson,F,1957-01-18,jessicadaniels@gmail.com,+1-458-576-8132,Port Stevenside,Nepal,2022-10-24,Bronze,blocked,,2844.52,480.26,185,,web,2022-09-21 06:42:05,2025-08-08 01:23:08
50,Melissa,Rivera,F,1952-10-31,wardshelly@strong.com,7720097325,South Tim,Congo,2021-07-06,Bronze,inactive,True,6291.72,274.71,16,2025-10-01,,2022-11-17 04:35:20,2025-08-21 18:30:57
51,Michele,Townsend,,1975-10-23,lsmith@murray.com,(812)068-2605,Port Adamfurt,Senegal,2023-02-25,Gold,active,False,,415.4,130,2024-03-07,mobile,2020-08-18 08:21:49,2025-12-01 20:35:11
52,Jeffrey,Jarvis,F,1982-09-01,belljeremiah@bradley.net,333-010-7996x65510,Gibsonport,Korea,2021-04-03,Silver,inactive,,15845.69,238.5,133,2025-01-16,store,2022-08-02 00:41:36,2025-04-20 02:36:12
53,Cathy,Patel,M,1996-11-09,brianhooper@yahoo.com,806.199.8936,South Allison,Luxembourg,2020-02-04,Silver,inactive,False,3426.04,80.62,208,,store,2022-03-28 04:56:46,2025-07-11 23:04:58
54,Karen,Crawford,,1979-04-16,juliajones@lane-nunez.biz,4588945266,East David,Turkey,2023-01-24,Bronze,active,False,19123.5,318.25,208,2025-02-07,mobile,2020-07-26 10:13:30,2025-10-01 08:37:32
55,Pamela,Stafford,F,2007-02-08,vmadden@yahoo.com,(253)956-9767x06706,Royfort,British Virgin Islands,2020-02-16,Bronze,inactive,True,,459.05,234,,web,2022-04-11 20:26:07,2026-01-04 06:41:32
56,Javier,Alvarez,F,1988-11-07,robert53@yahoo.com,,New Ronald,Greenland,2023-11-05,Gold,active,False,20029.68,338.73,123,2025-10-02,store,2022-09-04 13:10:23,2025-12-17 08:58:55
57,Randy,Lara,M,2000-06-26,wthompson@hotmail.com,(103)027-2629x73841,Davisstad,Timor-Leste,2022-12-20,Platinum,active,False,,485.25,242,2025-06-30,store,2021-10-29 00:29:24,2025-12-01 15:25:41
58,Lisa,Rojas,,1995-10-08,christinedean@gmail.com,001-407-591-8316x24135,Lake Meaganfurt,Iceland,2021-06-23,Platinum,inactive,,15311.63,343.78,31,2025-11-10,mobile,2020-02-29 15:24:34,2025-12-03 08:54:08
59,Todd,Thomas,F,1997-03-28,nicholas22@hotmail.com,,Port Denisefort,Sao Tome and Principe,2020-06-20,Bronze,inactive,,13606.54,235.33,222,2025-01-11,mobile,2022-08-18 23:12:29,2025-03-17 18:35:15
60,Tammy,Torres,M,1962-01-31,zprice@gmail.com,140-128-3368x16838,Howardbury,Egypt,2021-01-09,Platinum,active,True,,322.92,95,2024-06-18,mobile,2020-09-11 11:30:28,2025-10-07 05:09:15
61,Shane,Moore,,1997-06-11,hhall@gmail.com,875.741.2706,East Gabriella,Myanmar,2023-12-22,Bronze,blocked,False,10125.46,308.83,1,2025-05-11,mobile,2022-02-26 06:52:05,2025-07-19 03:01:44
62,Kristy,Cervantes,F,1964-08-25,jennifer59@gmail.com,3379239653,Sethshire,Nauru,2024-02-13,Silver,active,False,1116.31,83.77,166,,,2022-11-14 10:47:15,2025-11-06 12:34:59
63,Mallory,Lee,,1984-06-24,kingjeffrey@smith.com,164.694.3745x63342,Jessicaview,Cape Verde,2024-06-14,Gold,inactive,,768.94,331.88,133,2024-09-02,web,2022-11-21 05:58:10,2025-11-17 13:40:14
64,John,Moon,F,1960-10-13,jmorris@edwards-newman.com,947-962-4815,West Lindsayfort,El Salvador,2021-04-12,Bronze,active,True,20849.69,333.35,39,2025-06-25,store,2022-06-24 05:50:16,2025-02-26 13:03:15
65,Thomas,Keller,F,1979-01-06,tinamiller@craig.net,+1-142-984-3450,Lake Veronica,Armenia,2025-08-24,Bronze,blocked,,6244.57,199.26,69,2025-06-10,store,2020-01-19 05:50:58,2025-01-23 07:15:44
66,Chloe,Roberts,M,1951-01-29,patrick76@hotmail.com,001-168-551-7973x9479,North Kyleland,Netherlands,2025-12-06,Silver,blocked,False,21790.64,485.48,116,2024-10-18,,2021-06-07 17:32:35,2025-02-25 17:38:08
67,Jane,Williams,M,1998-04-20,staceybrady@scott.biz,,Caseyville,Namibia,2021-04-28,Bronze,blocked,False,23971.83,197.19,149,2025-10-30,store,2020-04-26 18:19:53,2025-04-13 04:17:15
68,Raymond,Green,,1965-09-20,haroldduran@yahoo.com,+1-433-935-5500x648,Josehaven,Montenegro,2024-04-16,Bronze,inactive,True,4275.53,398.55,168,,store,2020-10-11 19:50:40,2025-07-08 23:30:08
69,Stephanie,Walton,,1961-03-22,sarahmartin@gmail.com,0597861728,Ramirezburgh,United Kingdom,2025-07-08,Silver,active,True,,465.24,167,2025-11-20,store,2021-08-01 19:07:09,2025-07-12 05:33:06
70,Micheal,Herrera,M,1976-01-09,shepherdrebekah@bullock.com,+1-146-893-4091,South Briana,Gambia,2025-02-04,Gold,inactive,,12083.08,,3,2025-11-10,store,2021-10-29 21:32:51,2025-01-31 13:01:04
71,Rebecca,George,,1961-10-11,hbird@hotmail.com,368-301-1212,Michaelton,Sudan,2024-05-20,Bronze,inactive,True,5565.8,,23,2024-04-29,web,2020-09-20 13:17:29,2025-05-13 11:01:09
72,Catherine,Black,M,1988-04-25,richardbishop@hart-brown.biz,000-955-4411,Mcknighthaven,Antarctica (the territory South of 60 deg S),2020-01-23,Platinum,blocked,,17595.75,,37,2025-11-16,mobile,2022-08-27 07:23:41,2025-08-10 06:03:27
73,Jenna,Perez,M,1993-04-20,jesus81@yahoo.com,400.616.7507,Robertmouth,Iraq,2024-09-28,Platinum,active,True,7992.96,371.24,231,2024-09-07,,2021-06-11 02:07:17,2025-07-29 14:05:45
74,Christopher,Miles,,1998-10-17,arielgreene@fritz.com,001-065-054-6388,South Michele,Seychelles,2025-09-11,Silver,blocked,False,19601.28,,122,2024-03-19,mobile,2020-07-24 07:22:06,2025-03-14 20:55:35
75,Cheryl,Smith,,1973-06-26,pamelasmith@hotmail.com,183-707-1472x35649,Bradleyhaven,Rwanda,2025-12-14,Platinum,inactive,True,23512.72,37.21,151,2025-10-23,store,2021-06-07 18:33:27,2025-11-11 08:15:31
76,Austin,Wilson,M,2006-02-15,dylancox@yahoo.com,593-364-1847,Campbelltown,Senegal,2025-04-28,Bronze,active,False,23264.4,382.33,88,2026-01-13,,2020-10-14 17:35:14,2025-11-05 04:04:00
77,Clifford,Holmes,M,1983-05-02,mitchell76@gmail.com,,Port Victoria,Rwanda,2025-07-23,Platinum,active,False,11479.18,,56,2024-02-03,,2020-04-16 21:56:03,2025-10-12 07:41:34
78,Samantha,Welch,F,1998-11-27,allenaustin@yahoo.com,(151)345-0851,Owensfurt,Mexico,2021-09-30,Bronze,active,False,7238.28,495.21,7,2025-01-08,web,2023-01-11 12:53:20,2026-01-17 20:20:46
79,Jason,Kim,,1982-08-05,hernandezerika@anderson.org,665-157-7985x260,Kathytown,Canada,2022-11-29,Bronze,inactive,True,9432.75,36.06,113,2025-02-28,mobile,2022-04-05 22:22:49,2025-03-17 10:03:36
80,Elizabeth,Davis,,1990-05-17,rthompson@williams.com,(940)672-1967x06713,East Tina,Faroe Islands,2020-03-11,Gold,blocked,,10753.23,126.89,117,2025-05-25,mobile,2020-02-17 15:50:54,2025-04-29 03:56:07
81,Charles,Roberts,M,1961-07-10,thomasbriggs@yahoo.com,158-842-9816x26036,Patelshire,United Kingdom,2021-05-06,Platinum,inactive,,20620.8,316.99,130,2024-05-23,store,2022-10-29 03:02:02,2025-10-22 14:41:43
82,Joseph,Taylor,F,1984-08-18,joseph79@yahoo.com,350-406-6782x57590,Williamsbury,Lithuania,2024-12-20,Bronze,blocked,False,2955.16,331.83,121,2024-08-21,web,2021-08-07 14:50:23,2025-04-14 02:51:31
83,Mary,Miller,,1953-05-10,jesse04@hotmail.com,905.295.4209,Port Jamesport,Montserrat,2025-09-06,Gold,active,False,5095.94,163.0,115,2025-01-11,,2020-11-08 13:07:11,2025-11-06 16:58:01
84,Misty,Bell,F,1979-07-21,garylopez@yahoo.com,467.490.8893x050,Johnsonton,Belarus,2023-08-19,Silver,inactive,False,1262.15,253.66,202,2025-03-02,mobile,2022-12-15 03:35:24,2025-02-12 04:51:56
85,Adam,Ellison,,1998-02-07,danabrown@yahoo.com,,Rickybury,Germany,2020-10-23,Platinum,inactive,,5557.85,258.67,108,2025-12-11,mobile,2022-07-31 21:39:13,2025-02-27 09:22:26
86,Lori,Parker,,2004-09-03,ewillis@hotmail.com,(712)366-1279,Summershaven,Dominican Republic,2021-12-29,Silver,active,False,,469.34,147,2024-04-22,store,2020-07-31 10:09:07,2025-05-01 01:32:44
87,Pamela,Beck,F,1976-01-28,daniellemercer@brown-sandoval.com,039.491.7403x5674,Lake Bianca,Tuvalu,2021-05-15,Gold,blocked,False,11306.95,90.43,111,2025-02-28,store,2021-04-30 02:38:56,2026-01-04 12:22:16
88,Alexander,Gordon,F,1995-02-17,thompsonjay@friedman.org,(026)845-3273,Douglasberg,Algeria,2020-11-04,Platinum,active,True,3315.55,261.73,12,2024-03-09,,2020-12-28 06:56:48,2025-12-14 17:45:31
89,Gabriel,Rodriguez,M,2006-11-16,heather32@hotmail.com,711-320-3728x05249,Lake Steventon,Iraq,2021-08-13,Gold,inactive,True,16213.99,,37,2024-07-26,store,2020-09-15 21:03:03,2026-01-08 09:58:08
90,Sonya,Curtis,,1974-07-14,,112-639-9156,North Amanda,Denmark,2025-08-25,Bronze,inactive,,17578.13,,160,2024-04-07,web,2020-03-09 05:38:39,2025-07-01 04:53:49
91,Veronica,Schmidt,M,1981-10-07,nathaniel48@gmail.com,001-151-651-2570x8826,Jamesview,Eritrea,2023-08-12,Bronze,blocked,,9257.27,330.87,9,2024-12-12,,2022-07-13 13:57:24,2025-11-07 07:45:36
92,Justin,Obrien,M,1997-01-30,ashleykelly@gmail.com,+1-148-828-3132,Brianmouth,United States of America,2020-07-05,Silver,blocked,,12454.7,395.19,69,2025-01-05,,2021-06-02 00:20:04,2025-09-13 16:08:12
93,Keith,Woods,,1955-12-06,dianaturner@hotmail.com,(498)257-7121x8265,South Erikview,Pitcairn Islands,2021-02-17,Gold,blocked,,2570.52,382.78,88,2024-02-16,mobile,2021-12-13 15:03:00,2025-10-28 23:51:53
94,Cassandra,,M,1961-10-23,fletcherleslie@hotmail.com,(599)656-6251,Port Catherinebury,Zambia,2025-10-02,Silver,blocked,True,18466.67,421.04,99,2025-04-11,web,2021-05-14 21:32:16,2025-12-22 21:13:59
95,Kyle,Delgado,M,1969-10-06,petershannon@lopez.org,3806010040,Crystalchester,Palau,2020-05-12,Silver,inactive,False,14672.29,299.08,241,,,2021-10-05 15:36:54,2025-05-10 04:46:37
96,Shawna,Olson,M,1955-01-29,nbauer@wilson.com,416.567.8644,Washingtonland,Tunisia,2021-10-26,Gold,inactive,True,21043.92,137.73,32,2025-06-01,,2021-11-27 10:11:21,2025-12-25 11:24:04
97,Daniel,Gross,M,1998-12-06,waltersandrea@gibson.com,069-543-8453x02269,North Nicole,Tajikistan,2024-10-07,Bronze,inactive,,,,245,2025-10-29,store,2021-08-22 09:30:18,2025-01-21 13:29:03
98,John,Cain,,2001-12-12,dianeking@neal.com,029-428-9270x235,West Melanie,Isle of Man,2020-08-27,Gold,active,False,,186.51,221,2025-04-10,mobile,2022-02-27 14:34:41,2025-12-12 20:28:00
99,Heather,Tran,M,1964-06-13,rhodesmichele@gmail.com,(494)330-8132x12667,Port Laurie,Uruguay,2026-01-06,Gold,inactive,False,,,155,2025-06-15,store,2021-12-12 06:39:55,2025-12-23 13:18:06
100,Bailey,Schroeder,M,2001-02-25,valeriechung@perry.com,+1-767-442-2690x08261,East Jeffrey,New Caledonia,2021-01-07,Platinum,inactive,True,2736.85,,50,2024-12-17,store,2022-03-01 19:06:29,2025-12-11 17:19:16
101,Lisa,Stanley,F,1989-08-07,rosaleswhitney@hotmail.com,531-193-8018,Kirkmouth,Myanmar,2021-12-31,Bronze,active,False,,54.77,242,,store,2021-04-29 01:56:21,2025-10-20 14:02:43
102,Benjamin,Ruiz,F,1996-03-23,erin89@hotmail.com,001-532-188-1818x51624,Thompsonland,Central African Republic,2024-02-22,Platinum,inactive,True,3667.02,,216,2026-01-07,,2022-11-03 23:43:22,2025-05-30 02:39:20
103,Matthew,Snyder,F,1959-03-01,hsanchez@hotmail.com,001-981-317-5715x6221,Lake Johnland,Kenya,2025-11-17,Bronze,inactive,,12882.12,289.97,113,2024-02-23,mobile,2022-05-31 16:26:35,2025-02-24 07:24:41
104,Richard,Jensen,,1960-10-30,gregorymiranda@yahoo.com,9054703073,Medinamouth,Maldives,2021-11-30,Silver,inactive,,1812.19,235.75,244,,,2020-10-20 07:37:53,2025-03-29 07:58:06
105,Danielle,Wilkins,,1985-07-27,brian61@gmail.com,240-198-4762,Samanthamouth,Sudan,2025-02-25,Silver,blocked,,4323.21,358.95,55,2024-07-20,mobile,2022-03-20 11:39:45,2025-10-25 03:26:17
106,Kyle,Hogan,M,1954-07-10,,001-836-869-6573x7880,North Linda,Malta,2025-07-24,Silver,active,,18718.14,,64,2025-07-14,web,2021-04-21 20:39:23,2025-04-19 04:06:45
107,Gary,Powell,,1951-07-11,jonathanmiller@mcclain.com,4187832305,Lake Matthew,Aruba,2024-05-28,Gold,inactive,True,13434.22,367.92,87,,web,2020-02-11 09:12:59,2025-12-26 17:32:07
108,Holly,Gomez,,1985-08-24,vfox@crosby.net,8844133051,Lake Danaport,Namibia,2020-11-08,Platinum,inactive,,14163.63,,250,2025-12-26,mobile,2022-12-24 11:46:52,2025-12-18 15:50:45
109,Matthew,Martinez,,1961-05-04,,342.835.5270,West Cynthia,Palau,2021-07-23,Silver,inactive,,2926.14,96.86,96,2024-12-02,web,2021-03-28 00:56:18,2025-11-01 18:38:57
110,James,Price,,1983-02-12,todd28@gmail.com,(297)815-5106x29460,West Jose,Namibia,2023-06-20,Gold,active,True,13000.75,234.55,122,2025-08-12,mobile,2021-01-13 14:05:20,2025-07-12 16:03:13
111,Pamela,Atkinson,F,1953-03-28,rsmith@daniels-greer.org,(692)218-0841,Lewisbury,Palau,2025-04-26,Silver,inactive,False,5286.64,162.47,33,,store,2021-02-14 15:12:43,2025-07-15 07:51:01
112,Lisa,Patterson,M,1998-08-06,brooke21@casey.com,001-649-537-5658x2935,North Brittany,Angola,2020-04-04,Silver,inactive,,12720.39,238.11,124,2025-09-13,store,2020-06-07 00:32:24,2025-06-28 03:55:22
113,Mary,Wade,M,1968-10-09,gandersen@gmail.com,,New Terri,Tajikistan,2020-07-28,Silver,active,False,22436.31,143.67,228,2025-12-30,,2021-10-27 10:28:50,2025-05-28 05:00:57
114,Steven,Johnson,M,1995-01-01,fsmith@gmail.com,(684)076-6339x3796,Heatherville,Tajikistan,2020-06-22,Bronze,blocked,False,11556.27,381.18,239,2024-10-19,web,2020-04-16 20:58:42,2025-06-08 12:00:55
115,Amanda,Hicks,,2002-03-19,alyssatucker@yahoo.com,,Hardingfurt,United Kingdom,2023-04-21,Bronze,blocked,,5079.59,135.75,205,,,2020-11-09 21:12:09,2025-02-25 20:21:27
116,Abigail,Smith,F,1994-02-17,phillipnichols@santana.com,(991)796-3530x8454,East Brittany,Nauru,2022-03-04,Bronze,blocked,True,14725.81,408.57,67,,,2022-10-26 11:00:05,2025-01-19 04:14:38
117,Joshua,Davis,,1979-07-03,gphillips@hotmail.com,001-363-093-1665x4613,Huntstad,Vanuatu,2020-12-24,Bronze,blocked,,3196.61,179.71,10,2025-09-13,store,2021-10-06 23:47:54,2026-01-13 04:04:19
118,Ryan,Harris,M,1968-01-09,shanewarner@brooks.com,817-924-5189x142,Lake Ashley,Palau,2023-10-26,Silver,inactive,True,,,58,2025-01-10,,2021-12-18 13:43:42,2025-05-24 19:31:56
119,Michael,Beck,F,1994-09-21,shannonwilliams@gmail.com,001-853-137-4520x668,Patriciaburgh,Reunion,2025-07-11,Platinum,blocked,,12089.49,480.01,125,2024-02-08,store,2020-11-25 07:53:18,2025-03-31 15:49:12
120,Joyce,Castro,,2006-11-18,butlerjohn@scott.biz,(685)131-3716x87793,Nathanielberg,Nepal,2021-09-02,Platinum,inactive,True,12302.9,315.33,109,2024-12-04,web,2020-09-10 11:12:50,2025-11-08 01:22:33
121,Mark,Alexander,M,1999-12-16,juliajenkins@martinez.com,(326)441-2401x4398,Andreastad,Grenada,2020-09-14,Platinum,blocked,False,6303.77,362.79,244,,,2020-07-10 14:21:04,2026-01-01 11:53:31
